x, y, z, t, confidence
570.0, 444.0, 24.0, 0.0, 22.6077
205.0, 942.0, 7.0, 0.0, 22.6807
208.0, 526.0, 17.0, 0.0, 22.7099
642.0, 394.0, 8.0, 0.0, 22.713
291.0, 477.0, 13.0, 0.0, 22.7265
127.0, 159.0, 15.0, 0.0, 22.7477
115.0, 805.0, 21.0, 0.0, 22.7496
235.0, 481.0, 17.0, 0.0, 22.7872
155.0, 364.0, 17.0, 0.0, 22.8131
175.0, 144.0, 15.0, 0.0, 22.8572
532.0, 630.0, 16.0, 0.0, 22.8775
523.0, 481.0, 5.0, 0.0, 22.8871
792.0, 938.0, 21.0, 0.0, 22.9303
814.0, 491.0, 29.0, 0.0, 22.9504
700.0, 334.0, 29.0, 0.0, 22.981
1055.0, 404.0, 25.0, 0.0, 23.0196
838.0, 773.0, 21.0, 0.0, 23.0255
694.0, 484.0, 13.0, 0.0, 23.0273
264.0, 84.0, 23.0, 0.0, 23.0275
961.0, 318.0, 29.0, 0.0, 23.1447
604.0, 511.0, 6.0, 0.0, 23.2174
